x	y	color
38486.45703125	8073.75146484375	0
38477.953125	8120.39306640625	0
38506.25	8090.2939453125	0
38453.640625	8087.11572265625	0
38529.56640625	8016.45849609375	0
38611.5	8043.49365234375	0
38551.17578125	8053.32763671875	0
38742.6015625	9192.595703125	0
38713.21484375	9303.0576171875	0
38703.9140625	9068.9228515625	0
38673.90625	9296.8974609375	0
38676.1171875	9222.3955078125	0
38572.72265625	9348.89453125	0
38644.20703125	9357.1181640625	0
38615.5625	9326.9833984375	0
38576.8203125	9308.9150390625	0
38503.15625	9204.4609375	0
38560.4296875	9197.1904296875	0
38527.4296875	9230.8525390625	0
38401.4296875	9175.333984375	0
38454.578125	9131.57421875	0
38439.20703125	9195.46875	0
38439.68359375	9160.880859375	0
38416.28515625	9146.7041015625	0
38533.1328125	9135.919921875	0
38468.73828125	9179.865234375	0
38506.9609375	9159.4306640625	0
38630.90625	8375.64453125	0
38656.21875	8456.3173828125	0
38667.234375	8436.2578125	0
38630.08984375	8425.1328125	0
38672.046875	9010.7451171875	0
38741.765625	9055.8671875	0
38709.6875	9020.9013671875	0
38729.49609375	8983.8271484375	0
38670.296875	8813.42578125	0
38607.87109375	8916.3154296875	0
38460.2890625	8562.6689453125	0
38530.8359375	9079.8203125	0
38549.48046875	9068.4443359375	0
38501.70703125	8764.0400390625	0
38637.37890625	8477.9580078125	0
38733.59375	8557.958984375	0
38672.18359375	8483.349609375	0
38091.87109375	8226.8125	0
38203.15234375	8386.427734375	0
38138.1015625	8252.2109375	0
38130.71484375	8222.623046875	0
38093.46484375	8904.6435546875	0
38090.015625	8942.8193359375	0
38016.33984375	8928.3798828125	0
38042.34765625	8910.2626953125	0
37982.328125	8267.7177734375	0
37980.78125	8375.923828125	0
37997.62890625	8317.1220703125	0
38183.859375	8158.42041015625	0
38249.64453125	8176.03759765625	0
38223.99609375	8211.544921875	0
38215.03125	8180.80322265625	0
38330.08984375	8140.80615234375	0
38403.984375	8338.06640625	0
38328.30859375	8356.958984375	0
38280.265625	8351.890625	0
38295.11328125	8290.7783203125	0
38306.9765625	8254.0068359375	0
38260.66015625	7984.51318359375	0
38297.421875	7988.34814453125	0
38285.3203125	8134.98486328125	0
38254.59375	8124.08984375	0
33401.171875	8739.619140625	0
34340.5390625	8690.134765625	0
36793.421875	8931.2939453125	0
37067.07421875	8649.2177734375	0
37017.44140625	8712.802734375	0
37036.24609375	8662.89453125	0
37115.09375	7919.73291015625	0
37089.1171875	7953.080078125	0
37036.37109375	7938.5517578125	0
37074.4609375	7923.97314453125	0
37090.71875	7896.904296875	0
37144.38671875	8651.1767578125	0
37205.4765625	8710.14453125	0
37148.03515625	8689.6513671875	0
37185.85546875	8655.658203125	0
37247.6484375	8714.1689453125	0
37301.91796875	8436.1630859375	0
37271.13671875	8406.240234375	0
37513.31640625	8859.255859375	0
37485.58984375	8616.2646484375	0
37487.63671875	8837.7099609375	0
37502.1328125	8593.4990234375	0
37471.58984375	8058.53173828125	0
37463.6015625	8577.4462890625	0
36017.64453125	8867.7734375	0
35975.68359375	9030.2470703125	0
35942.5234375	9010.5419921875	0
35994.7109375	8929.4638671875	0
36194.1953125	8804.9326171875	0
36247.078125	8877.4501953125	0
36240.28125	8838.4970703125	0
36191.57421875	8875.9833984375	0
36039.3671875	8952.0439453125	0
36190.6640625	8982.625	0
36164.0078125	8839.19140625	0
36041.6796875	8898.001953125	0
36222.60546875	9055.787109375	0
35958.390625	9138.1103515625	0
36007.40625	9126.3212890625	0
36053.35546875	9116.673828125	0
36525.96875	8897.4169921875	0
36329.17578125	8922.13671875	0
36299.73828125	8915.6572265625	0
36350.640625	8902.0458984375	0
36404.6328125	8733.2431640625	0
36364.90625	8816.6279296875	0
36385.83984375	8795.8447265625	0
36313.3828125	9028.2705078125	0
36161.546875	8446.548828125	0
36627.17578125	8538.390625	0
36596.60546875	8525.7724609375	0
36232.859375	8484.349609375	0
36413.66015625	8647.9775390625	0
36390.08984375	8702.697265625	0
36347.83984375	8681.369140625	0
36366.56640625	8650.43359375	0
36099.95703125	8616.5126953125	0
36137.1796875	8641.7197265625	0
36107.07421875	8592.6279296875	0
36249.84765625	8672.939453125	0
36244.82421875	8731.8837890625	0
36223.8359375	8693.2119140625	0
36084.34375	8711.984375	0
36136.72265625	8758.4580078125	0
36123.3828125	8724.9677734375	0
36097.55859375	8750.4658203125	0
36175.3515625	8679.236328125	0
36160.93359375	8723.58984375	0
36203.4375	8722.125	0
35585.171875	9121.9892578125	0
35603.1015625	9156.845703125	0
35590.796875	9084.5234375	0
35688.8671875	9111.5068359375	0
35832.6484375	9161.87109375	0
35905.74609375	9124.03515625	0
35854.05078125	9053.8642578125	0
35864.66796875	9094.3271484375	0
35908.85546875	9057.3779296875	0
35510.4765625	9048.30859375	0
35563.81640625	9184.7509765625	0
35518.56640625	9174.0224609375	0
35540.59375	9133.31640625	0
35564.21875	9055.646484375	0
35526.07421875	9089.5859375	0
35864.640625	8346.8369140625	0
35919.1484375	8337.392578125	0
35817.8046875	8253.2392578125	0
35895.171875	8376.7373046875	0
35961.98046875	8404.0322265625	0
